Entry	Entry Name	Protein names	Gene Names	Organism	Length	Virus hosts
A0A127ATL2	A0A127ATL2_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127ATL4	A0A127ATL4_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127ATN7	A0A127ATN7_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127ATN8	A0A127ATN8_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127ATP6	A0A127ATP6_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127ATP7	A0A127ATP7_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127ATQ2	A0A127ATQ2_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127ATR1	A0A127ATR1_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127ATT4	A0A127ATT4_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127ATT8	A0A127ATT8_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATU3	A0A127ATU3_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATU4	A0A127ATU4_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATU7	A0A127ATU7_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127ATV2	A0A127ATV2_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATV3	A0A127ATV3_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATV5	A0A127ATV5_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATW0	A0A127ATW0_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATW1	A0A127ATW1_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATW5	A0A127ATW5_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATW6	A0A127ATW6_CVHK1	Spike glycoprotein	S	Human coronavirus HKU1 (HCoV-HKU1)	298	Homo sapiens (Human) [TaxID: 9606]
A0A127ATX0	A0A127ATX0_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATX1	A0A127ATX1_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATX2	A0A127ATX2_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATX6	A0A127ATX6_CVHK1	Spike glycoprotein	S	Human coronavirus HKU1 (HCoV-HKU1)	298	Homo sapiens (Human) [TaxID: 9606]
A0A127ATX9	A0A127ATX9_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATY0	A0A127ATY0_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127ATY2	A0A127ATY2_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATY9	A0A127ATY9_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127ATZ2	A0A127ATZ2_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127ATZ5	A0A127ATZ5_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127ATZ7	A0A127ATZ7_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AU00	A0A127AU00_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AU01	A0A127AU01_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AU03	A0A127AU03_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AU10	A0A127AU10_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127AU11	A0A127AU11_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AU14	A0A127AU14_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AU15	A0A127AU15_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127AU20	A0A127AU20_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127AU32	A0A127AU32_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AU36	A0A127AU36_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AU39	A0A127AU39_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AU41	A0A127AU41_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	276	Homo sapiens (Human) [TaxID: 9606]
A0A127AU44	A0A127AU44_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AUB4	A0A127AUB4_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AUC9	A0A127AUC9_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AUD4	A0A127AUD4_CVHK1	Spike glycoprotein	S	Human coronavirus HKU1 (HCoV-HKU1)	298	Homo sapiens (Human) [TaxID: 9606]
A0A127AUD9	A0A127AUD9_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AUE9	A0A127AUE9_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AUJ0	A0A127AUJ0_CVHK1	Spike glycoprotein	S	Human coronavirus HKU1 (HCoV-HKU1)	298	Homo sapiens (Human) [TaxID: 9606]
A0A127AUP1	A0A127AUP1_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127AUQ1	A0A127AUQ1_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127AUQ9	A0A127AUQ9_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127AUV5	A0A127AUV5_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127AV77	A0A127AV77_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AV90	A0A127AV90_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AVA4	A0A127AVA4_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AVB5	A0A127AVB5_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AWE9	A0A127AWE9_CVHK1	Spike glycoprotein	S	Human coronavirus HKU1 (HCoV-HKU1)	298	Homo sapiens (Human) [TaxID: 9606]
A0A127AWF9	A0A127AWF9_CVHK1	Spike glycoprotein	S	Human coronavirus HKU1 (HCoV-HKU1)	298	Homo sapiens (Human) [TaxID: 9606]
A0A127AWN2	A0A127AWN2_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	273	Homo sapiens (Human) [TaxID: 9606]
A0A127AWP3	A0A127AWP3_CVHOC	Spike glycoprotein	S	Human coronavirus OC43 (HCoV-OC43)	282	Homo sapiens (Human) [TaxID: 9606]
A0A127AWU3	A0A127AWU3_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127AWV2	A0A127AWV2_CVH22	Spike protein	S	Human coronavirus 229E (HCoV-229E)	283	Homo sapiens (Human) [TaxID: 9606]
A0A127AX69	A0A127AX69_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AX84	A0A127AX84_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	444	Homo sapiens (Human) [TaxID: 9606]
A0A127AX91	A0A127AX91_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A127AX97	A0A127AX97_CVHNL	Spike protein	S	Human coronavirus NL63 (HCoV-NL63)	445	Homo sapiens (Human) [TaxID: 9606]
A0A166ZND9	A0A166ZND9_9NIDO	Spike protein	S	Bat coronavirus	852	
A0A185QE65	A0A185QE65_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QE69	A0A185QE69_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	440	
A0A185QE73	A0A185QE73_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QE77	A0A185QE77_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QE81	A0A185QE81_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QE85	A0A185QE85_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QE88	A0A185QE88_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QE92	A0A185QE92_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QE96	A0A185QE96_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QEP1	A0A185QEP1_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QEP8	A0A185QEP8_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QEQ3	A0A185QEQ3_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QER0	A0A185QER0_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QER7	A0A185QER7_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QES2	A0A185QES2_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QES8	A0A185QES8_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	440	
A0A185QET5	A0A185QET5_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A185QEU1	A0A185QEU1_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBU7	A0A190LBU7_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBV4	A0A190LBV4_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBW0	A0A190LBW0_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBW6	A0A190LBW6_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBX4	A0A190LBX4_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBY0	A0A190LBY0_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	440	
A0A190LBY6	A0A190LBY6_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBZ2	A0A190LBZ2_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LBZ9	A0A190LBZ9_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC06	A0A190LC06_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC12	A0A190LC12_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC18	A0A190LC18_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC24	A0A190LC24_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC30	A0A190LC30_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC36	A0A190LC36_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC65	A0A190LC65_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC71	A0A190LC71_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC77	A0A190LC77_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC84	A0A190LC84_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC90	A0A190LC90_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LC96	A0A190LC96_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LCA1	A0A190LCA1_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	440	
A0A190LCA7	A0A190LCA7_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	440	
A0A190LCB3	A0A190LCB3_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	440	
A0A190LCB9	A0A190LCB9_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LCC5	A0A190LCC5_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LCD0	A0A190LCD0_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A190LCD6	A0A190LCD6_9ALPC	Spike protein	S	Porcine epidemic diarrhea virus	442	
A0A1B0V2R4	A0A1B0V2R4_MERS	Truncated S protein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	801	
A0A1B0YTV9	A0A1B0YTV9_9ALPC	Spike protein	S	Bat coronavirus/4539/2013/Cynomops planirostris/Brazil	197	
A0A1B0YV50	A0A1B0YV50_9ALPC	Spike protein	S	Bat coronavirus/4705/2013/Cynomops abrasus/Brazil	196	
A0A1B2G2I1	A0A1B2G2I1_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2I4	A0A1B2G2I4_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2I5	A0A1B2G2I5_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2I6	A0A1B2G2I6_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2I7	A0A1B2G2I7_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2I9	A0A1B2G2I9_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2J2	A0A1B2G2J2_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2J4	A0A1B2G2J4_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2J7	A0A1B2G2J7_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2J8	A0A1B2G2J8_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2J9	A0A1B2G2J9_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K0	A0A1B2G2K0_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K1	A0A1B2G2K1_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K2	A0A1B2G2K2_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K3	A0A1B2G2K3_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K4	A0A1B2G2K4_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K5	A0A1B2G2K5_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K7	A0A1B2G2K7_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K8	A0A1B2G2K8_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2K9	A0A1B2G2K9_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2L2	A0A1B2G2L2_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2L3	A0A1B2G2L3_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2L4	A0A1B2G2L4_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2L5	A0A1B2G2L5_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2L6	A0A1B2G2L6_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2L8	A0A1B2G2L8_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2M3	A0A1B2G2M3_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2G2M6	A0A1B2G2M6_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	204	
A0A1B2RDW7	A0A1B2RDW7_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RDW8	A0A1B2RDW8_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RDX0	A0A1B2RDX0_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RDX1	A0A1B2RDX1_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RDX2	A0A1B2RDX2_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RDX7	A0A1B2RDX7_9BETC	S1	S	Alpaca coronavirus	100	
A0A1B2RE02	A0A1B2RE02_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RE11	A0A1B2RE11_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RE19	A0A1B2RE19_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RE54	A0A1B2RE54_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RE61	A0A1B2RE61_9BETC	S1	S	Alpaca coronavirus	173	
A0A1B2RED0	A0A1B2RED0_9BETC	S1	S	Alpaca coronavirus	173	
A0A1C9EIU6	A0A1C9EIU6_9NIDO	Spike glycoprotein	S	Rabbit coronavirus	390	
A0A1C9EIV1	A0A1C9EIV1_9NIDO	Spike glycoprotein	S	Rabbit coronavirus	390	
A0A1C9EIW5	A0A1C9EIW5_9NIDO	Spike glycoprotein	S	Rabbit coronavirus	398	
A0A1L2DXL9	A0A1L2DXL9_9GAMC	Spike protein	S	Infectious bronchitis virus	973	
A0A1L2ILV7	A0A1L2ILV7_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	195	
A0A1L2ILW0	A0A1L2ILW0_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	195	
A0A1L2ILW1	A0A1L2ILW1_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	195	
A0A1L2ILW2	A0A1L2ILW2_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	195	
A0A1L2ILW7	A0A1L2ILW7_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	147	
A0A1L2ILW8	A0A1L2ILW8_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	195	
A0A1L2ILW9	A0A1L2ILW9_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	195	
A0A1L2ILX9	A0A1L2ILX9_MERS	Spike glycoprotein	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	144	
A0A1L7B9B2	A0A1L7B9B2_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	183	
A0A1L7B9B3	A0A1L7B9B3_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	202	
A0A1L7B9B4	A0A1L7B9B4_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	204	
A0A1L7B9B5	A0A1L7B9B5_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	204	
A0A1L7B9B6	A0A1L7B9B6_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	202	
A0A1L7B9B9	A0A1L7B9B9_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	203	
A0A1L7B9C0	A0A1L7B9C0_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	194	
A0A1L7B9C1	A0A1L7B9C1_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	203	
A0A1L7B9C4	A0A1L7B9C4_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	204	
A0A1L7B9C5	A0A1L7B9C5_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	205	
A0A1L7B9C6	A0A1L7B9C6_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	192	
A0A1L7B9C7	A0A1L7B9C7_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	182	
A0A1L7B9C8	A0A1L7B9C8_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	181	
A0A1L7B9C9	A0A1L7B9C9_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	182	
A0A1L7B9D0	A0A1L7B9D0_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	202	
A0A1L7B9D1	A0A1L7B9D1_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	192	
A0A1L7B9D2	A0A1L7B9D2_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	200	
A0A1L7B9D3	A0A1L7B9D3_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	184	
A0A1L7B9D4	A0A1L7B9D4_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	199	
A0A1L7B9D5	A0A1L7B9D5_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	199	
A0A1L7B9E0	A0A1L7B9E0_MERS	Spike	S	Middle East respiratory syndrome-related coronavirus (MERS-CoV)	199	
A0A1L7NS34	A0A1L7NS34_9ALPC	Spike	S	Canine coronavirus	159	
A0A1L7NS35	A0A1L7NS35_9ALPC	Spike	S	Canine coronavirus	159	
A0A1L7NS46	A0A1L7NS46_9ALPC	Spike	S	Canine coronavirus	159	
A0A1L7NS47	A0A1L7NS47_9ALPC	Spike	S	Canine coronavirus	159	
A0A1L7NS49	A0A1L7NS49_9ALPC	Spike	S	Canine coronavirus	158	
A0A1P7ZRD2	A0A1P7ZRD2_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	50	
A0A1P7ZRD3	A0A1P7ZRD3_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	59	
A0A1P7ZRD4	A0A1P7ZRD4_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	49	
A0A1P7ZRD5	A0A1P7ZRD5_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	41	
A0A1P7ZRD6	A0A1P7ZRD6_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	39	
A0A1P7ZRD8	A0A1P7ZRD8_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	253	
A0A1P7ZRD9	A0A1P7ZRD9_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	44	
A0A1P7ZRE3	A0A1P7ZRE3_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	49	
A0A1P7ZRE7	A0A1P7ZRE7_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	253	
A0A1P7ZRE9	A0A1P7ZRE9_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	51	
A0A1P7ZRF0	A0A1P7ZRF0_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	39	
A0A1P7ZRF1	A0A1P7ZRF1_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	49	
A0A1P7ZRF2	A0A1P7ZRF2_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	253	
A0A1P7ZRF3	A0A1P7ZRF3_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	270	
A0A1P7ZRF4	A0A1P7ZRF4_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	253	
A0A1P7ZRF5	A0A1P7ZRF5_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	52	
A0A1P7ZRF6	A0A1P7ZRF6_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	59	
A0A1P7ZRF7	A0A1P7ZRF7_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	51	
A0A1P7ZRF8	A0A1P7ZRF8_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	49	
A0A1P7ZRF9	A0A1P7ZRF9_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	37	
A0A1P7ZRG0	A0A1P7ZRG0_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	39	
A0A1P7ZRG1	A0A1P7ZRG1_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	270	
A0A1P7ZRG2	A0A1P7ZRG2_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	76	
A0A1P7ZRG3	A0A1P7ZRG3_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	50	
A0A1P7ZRG4	A0A1P7ZRG4_9ALPC	Spike glycoprotein	S	Porcine epidemic diarrhea virus	253	
